master,pair,station,lagtime,coefficient,phase,ttmaster,ttpair,dt
417,442,SIL03,0.020699649,0.914417637,P,3.05,3.17,0.12
417,442,NIL09,-0.124233665,0.707763369,S,6.34,6.32,-0.02
417,442,NIL09,-0.045151245,0.85758364,P,3.87,3.71,-0.16
417,442,NIL08,-0.014778789,0.924265676,S,3.41,3.41,0
417,442,NIL08,0.00066784,0.964375732,P,4.19,3.76,-0.43
417,442,NIL06,0.0747616,0.647334048,S,2.03,2.03,0
417,442,NIL06,0.00705122,0.951021958,P,2.35,2.28,-0.07
417,442,NIL03,0.0053673,0.770730688,S,3.69,3.82,0.13
417,442,NIL03,0.100270964,0.576233062,P,2.19,2.16,-0.03
417,442,NIL04,-0.023250479,0.892523326,S,2.52,2.48,-0.04
417,442,NIL04,-0.00091376,0.951317983,P,4.33,4.21,-0.12
417,442,NIL02,0.016378967,0.859347327,P,3.46,3.56,0.1
417,537,SIL07,-0.119716147,0.467973343,P,2.17,2.19,0.02
417,537,SIL08,0.014307123,0.504271399,P,3.69,3.82,0.13
417,537,SIL05,-0.013872155,0.4073378,P,2.35,2.31,-0.04
417,537,SIL02,-0.035544712,0.435394397,P,2.03,2.08,0.05
417,537,NIL09,-0.134641877,0.732235267,P,2.19,2.32,0.13
417,537,NIL09,-0.064741252,0.527040468,S,2.52,2.49,-0.03
417,537,NIL08,0.136449817,0.598445005,S,3.46,3.71,0.25
417,537,NIL08,-0.056821469,0.650032972,P,2.28,2.28,0
417,541,SIL08,-0.043568984,0.240110905,P,2.17,2.19,0.02
417,541,SIL07,-0.061230571,0.462117975,P,3.69,3.82,0.13
417,541,SIL04,-0.11365551,0.762999771,P,2.35,2.31,-0.04
417,541,SIL05,-0.031485174,0.746857534,P,2.03,2.08,0.05
417,541,NIL10,-0.044633633,0.795816869,P,2.19,2.32,0.13
417,541,NIL10,0.053189166,0.444186112,S,2.52,2.49,-0.03
417,541,SIL03,0.015196764,0.882265308,P,3.46,3.71,0.25
417,541,NIL09,-0.163529057,0.612917482,S,2.28,2.28,0
417,541,NIL09,-0.001335192,0.520199996,P,2.24,2.35,0.11
417,541,NIL08,0.010265255,0.857512698,P,2.9,2.65,-0.25
417,541,NIL08,0.021607527,0.851801071,S,4.52,4.41,-0.11
417,541,NIL06,0.11094066,0.728346648,S,2.79,2.78,-0.01
417,541,NIL06,-0.006505214,0.710321251,P,3.05,3.17,0.12
417,541,NIL03,0.004938193,0.539785538,S,6.34,6.32,-0.02
417,541,NIL03,0.004355291,0.750490714,P,3.87,3.71,-0.16
417,541,NIL04,0.003090528,0.756008389,P,3.41,3.41,0
417,541,NIL04,0.032811047,0.821907304,S,4.19,3.76,-0.43
417,467,SIL08,0.022835587,0.890866717,P,2.17,2.19,0.02
417,467,SIL08,0.057819126,0.731426879,S,3.69,3.82,0.13
417,467,SIL07,0.026812919,0.639849174,P,2.35,2.31,-0.04
417,467,SIL04,-0.027916132,0.885422658,P,2.03,2.08,0.05
417,467,SIL06,0.005685351,0.974375301,P,2.19,2.32,0.13
417,467,SIL05,0.057715953,0.658339243,S,2.52,2.49,-0.03
417,467,SIL05,0.010544005,0.919588556,P,3.46,3.71,0.25
417,467,SIL02,-0.001021424,0.894119091,P,2.28,2.28,0
417,467,NIL10,-0.012723036,0.924534285,P,2.24,2.35,0.11
417,467,NIL10,0.026359782,0.351000519,S,2.9,2.65,-0.25
417,467,SIL03,0.033042381,0.863390527,P,4.52,4.41,-0.11
417,467,NIL09,0.005028267,0.92002273,S,2.79,2.78,-0.01
417,467,NIL09,0.026210707,0.891078258,P,3.05,3.17,0.12
417,467,NIL08,0.002466495,0.941557939,S,6.34,6.32,-0.02
417,467,NIL08,0.00959653,0.951514151,P,3.87,3.71,-0.16
417,467,NIL06,-0.00033436,0.736052409,S,3.41,3.41,0
417,467,NIL06,-0.00329989,0.89879137,P,4.19,3.76,-0.43
417,467,NIL03,0.058284392,0.624027183,S,2.03,2.03,0
417,467,NIL03,-0.004816214,0.95036284,P,2.35,2.28,-0.07
417,467,NIL04,-0.030699065,0.900726186,S,3.69,3.82,0.13
417,467,NIL04,-0.001394193,0.925507621,P,2.19,2.16,-0.03
417,467,NIL02,0.025467081,0.857103238,P,2.52,2.48,-0.04
417,536,SIL07,-0.075152444,0.475374995,P,2.17,2.19,0.02
417,536,SIL06,-0.006598125,0.943401467,P,3.69,3.82,0.13
417,536,SIL06,0.037305273,0.630000547,S,2.35,2.31,-0.04
417,536,SIL08,-0.087568281,0.668712882,S,2.03,2.08,0.05
417,536,SIL08,-0.055831379,0.377035211,P,2.19,2.32,0.13
417,536,SIL04,0.011602024,0.645956316,S,2.52,2.49,-0.03
417,536,SIL04,0.155100015,0.598382071,P,3.46,3.71,0.25
417,536,SIL05,0.023245851,0.772289908,S,2.28,2.28,0
417,536,SIL05,0.006507293,0.711571484,P,2.24,2.35,0.11
417,536,SIL01,-0.138210016,0.658723008,P,2.9,2.65,-0.25
417,536,SIL01,0.021514989,0.506654474,S,4.52,4.41,-0.11
417,536,SIL02,0.047181742,0.477986768,S,2.79,2.78,-0.01
417,536,SIL02,0.000158774,0.4536667,P,3.05,3.17,0.12
417,536,SIL03,-0.175195546,0.650816463,S,6.34,6.32,-0.02
417,536,SIL03,0.138075937,0.502390207,P,3.87,3.71,-0.16
417,536,NIL10,0.110760252,0.683108691,S,3.41,3.41,0
417,536,NIL10,0.012400305,0.728461191,P,4.19,3.76,-0.43
417,536,NIL09,-0.052608437,0.575141138,S,2.03,2.03,0
417,536,NIL09,-0.061160152,0.84163283,P,2.35,2.28,-0.07
417,536,NIL08,-0.041259257,0.695505305,S,3.69,3.82,0.13
417,536,NIL08,0.019084537,0.568697517,P,2.19,2.16,-0.03
417,536,NIL06,0.087563682,0.596108145,S,2.52,2.48,-0.04
417,536,NIL06,0.00189265,0.816665997,P,4.33,4.21,-0.12
417,536,NIL03,0.019287443,0.583826167,S,3.46,3.56,0.1
417,536,NIL03,0.02081579,0.580164445,P,2.28,2.2,-0.08
417,536,NIL04,0.001700586,0.702193792,S,2.24,2.29,0.05
417,536,NIL04,0.011490315,0.795264834,P,4.49,4.39,-0.1
417,536,NIL02,0.054003902,0.765252449,P,2.79,2.76,-0.03
417,459,SIL07,-0.173358367,0.478252268,P,2.17,2.19,0.02
417,459,SIL08,0.075245409,0.613201079,P,3.69,3.82,0.13
417,459,SIL08,-0.008593518,0.736485463,S,2.35,2.31,-0.04
